microchip;species;sex;size;potentDangerous;neighborhood
9,78101E+13;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
9,00032E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,00113E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00113E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,00113E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00113E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00113E+14;CANINO;HEMBRA;MUY GRANDE;NO;USAQUEN
9,00113E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00113E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00113E+14;CANINO;MACHO;MUY GRANDE;NO;USAQUEN
9,00113E+14;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
9,00113E+14;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
9,00113E+14;CANINO;MACHO;MINIATURA;NO;USAQUEN
9,00113E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00113E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00113E+14;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
9,00113E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00118E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00164E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00164E+14;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;FELINO;HEMBRA;MINIATURA;NO;USAQUEN
